"Name","Description","Threats","Main Standards","Commet"
"SMGW(Smart Meter Gateway)","Collects meter data, packages it as InfoReports, controls home appliances via ControlMessages.","<ul><li>Insider Privilege Abuse</li><li>Privacy Leakage via Smart Meter Data</li></ul>","TR-03109,MsbG","TR-03109is the core technical standard for SMGWs in Germany, defining security and communication.MsbGis the legal basis. Both aremandatoryfor German SMGWs."
"VNB-SCADA(Distribution System Operator SCADA)","Supervisory control and data acquisition for smart meters, CLS, and grid devices.","<ul><li>Insider Privilege Abuse</li></ul>","IEC 62351,IEC 61850,IEC 60870-5/6","SCADA systems in the distribution grid typically useIEC 60870-5/6(telecontrol) orIEC 61850(automation).IEC 62351secures these protocols."
"Outage Management System(OMS)","Fault detection by polling SMGWs, evaluating responses (ANSI C12.22/DLMS).","<ul></ul>","IEC 62351,IEC 61970/61968,BSI IT-Grundschutz","Relies onIEC 61970/61968for information models andIEC 62351for security.BSI IT-Grundschutzapplies for general IT security."
"Operational Data Store","Central storage for grid operational data.","<ul><li>Compromised Operational Data Store</li><li>Ransomware</li><li>Physical Threat</li></ul>","BSI IT-Grundschutz,IT-SiG/KRITIS(if critical)","BSI IT-Grundschutzis key for data storage security.IT-SiG/KRITISapplies if the system is part of critical infrastructure."
"IDS/SIEM","Intrusion Detection System & Security Information & Event Management: real-time monitoring, log analysis, event correlation.","<ul><li>Ransomware</li></ul>","BSI IT-Grundschutz,IT-SiG/KRITIS","These systems are part ofISMS(Information Security Management System), covered byBSI IT-Grundschutzand, if critical,IT-SiG/KRITIS."
"CRL-Server","Provides Certificate Revocation Lists for secure certificate handling.","<ul><li>CRL-Server Compromise</li></ul>","TR-03109,TR-02102","Certificate handling for SMGWs is defined inTR-03109.TR-02102covers relevant cryptographic mechanisms."
"PMU(Phasor Measurement Unit)","Measures phasor values with PTP timestamp, streams to WAMS.","<ul><li>GPS Spoofing</li><li>Physical Threat</li></ul>","IEC 61850,IEC 62351","IEC 61850for substation automation/communication,IEC 62351for protocol security."
"WAMS-Backend","Wide Area Monitoring System: collects, visualizes, analyzes phasor data for operators.","<ul></ul>","IEC 61850,IEC 62351","IEC 61850defines data models/comm.,IEC 62351adds security."
"DSO-DMS","Real-time grid operation, monitoring, load/voltage control, FLISR, based on InfoReports & other data.","<ul><li>Insider Privilege Abuse</li><li>Privacy Leakage via Smart Meter Data</li></ul>","IEC 61970/61968,IEC 62351,BSI IT-Grundschutz","IEC 61970/61968for information models,IEC 62351for secure comm.,BSI IT-Grundschutzfor general security."
"Protected-IED","Protection relay (distance/differential), monitoring, trip commands via GOOSE.","<ul><li>Physical Threat</li></ul>","IEC 61850,IEC 62351","IEC 61850for IED communication/data,IEC 62351secures the protocols."
"Operator UI","Grid operator dashboard for interaction with the system.","<ul><li>Insider Privilege Abuse</li><li>Social Engineering</li><li>API Abuse</li><li>Privacy Leakage</li><li>Fingerprinting</li><li>Privileged Access Abuse</li></ul>","BSI IT-Grundschutz,IT-SiG/KRITIS(if critical)","Access control, authentication, logging covered byBSI IT-Grundschutz.IT-SiG/KRITISapplies if critical."
"DER-Gateway","Interface to distributed energy resources for setpoints & telemetry.","<ul><li>Third Party Integration</li><li>Ransomware</li></ul>","IEC 61851,ISO 15118,IEC 63110,BSI IT-Grundschutz","IEC 61851(charging),ISO 15118(V2G),IEC 63110(EV infra),BSI IT-Grundschutzfor general security. Growing relevance with DER expansion."
"VPP Operator","Virtual power plant management: registration, aggregation, scheduling.","<ul><li>VPP Operator Compromise</li></ul>","IEC 61970/61968,BSI IT-Grundschutz","IEC 61970/61968for aggregation/data exchange,BSI IT-Grundschutzfor security."
"Microgrid Controller","Control interface for grid-connected microgrids; shows MMS reports, sends dispatch commands.","<ul><li>Insider Privilege Abuse</li><li>Ransomware</li></ul>","IEC 61850,IEC 62351,BSI IT-Grundschutz","IEC 61850/62351for automation/control,BSI IT-Grundschutzfor security."
"Customer DER/IoT","Devices like balcony PV, home battery, smart appliances.","<ul><li>IoT Botnet Participation</li><li>Third Party Integration</li><li>Physical Threat</li></ul>","IEC 61851,ISO 15118,OCPP,BSI IT-Grundschutz","IEC 61851(charging),ISO 15118(V2G),OCPP(station-backend),BSI IT-Grundschutzfor device security."
"Head-End System/Integration Layer","Central data integration & secure exchange between grid and enterprise IT.","<ul><li>Third Party Integration</li><li>Ransomware</li></ul>","TR-03109(if metering),BSI IT-Grundschutz,IT-SiG/KRITIS(if critical)","TR-03109if part of smart metering,BSI IT-Grundschutzfor general security,IT-SiG/KRITISif critical."
"Remote Maintenance/Update Server","Provides remote device maintenance and firmware updates.","<ul><li>Ransomware</li><li>Third Party Integration</li><li>Physical Threat</li></ul>","BSI IT-Grundschutz,IT-SiG/KRITIS(if critical)","BSI IT-Grundschutzfor secure remote access,IT-SiG/KRITISif critical."
"Forecasting System","Predicts generation (e.g., solar/wind) and load patterns.","<ul></ul>","IEC 61970/61968,BSI IT-Grundschutz","IEC 61970/61968for data exchange,BSI IT-Grundschutzfor security."
